Iteration,Slope,Layer,Inactive_Percentage
13,0.05,conv_block1_relu,64.88089402999707
13,0.05,conv_block2_relu,66.36332235094059
13,0.05,conv_block3_relu,80.25891012396694
13,0.5,conv_block1_relu,44.45964243701598
13,0.5,conv_block2_relu,48.906631948134766
13,0.5,conv_block3_relu,57.295163997933884
14,0.005,conv_block1_relu,42.084109401039115
14,0.005,conv_block2_relu,55.0935274736954
14,0.005,conv_block3_relu,83.49447959710744
14,0.05,conv_block1_relu,70.198234241741
14,0.05,conv_block2_relu,76.06912264852801
14,0.05,conv_block3_relu,79.02892561983471
14,0.5,conv_block1_relu,49.35438314871091
14,0.5,conv_block2_relu,49.06771442236157
14,0.5,conv_block3_relu,51.39947055785123
15,0.005,conv_block1_relu,51.9780536221939
15,0.005,conv_block2_relu,55.98628972260602
15,0.005,conv_block3_relu,74.40276342975206
15,0.05,conv_block1_relu,71.27548769728458
15,0.05,conv_block2_relu,74.39585768944627
15,0.05,conv_block3_relu,64.3772598140496
15,0.5,conv_block1_relu,53.366397902166455
15,0.5,conv_block2_relu,49.303193750664256
15,0.5,conv_block3_relu,53.76259039256198
16,0.005,conv_block1_relu,47.439282913439854
16,0.005,conv_block2_relu,50.512474758210224
16,0.005,conv_block3_relu,77.28967587809917
16,0.05,conv_block1_relu,79.31713189883345
16,0.05,conv_block2_relu,74.71237644808161
16,0.05,conv_block3_relu,65.26342975206612
16,0.5,conv_block1_relu,33.57268895206352
16,0.5,conv_block2_relu,50.724372940801366
16,0.5,conv_block3_relu,51.434174845041326
17,0.005,conv_block1_relu,60.12906210175473
17,0.005,conv_block2_relu,47.093540758847915
17,0.005,conv_block3_relu,70.55623708677686
17,0.05,conv_block1_relu,80.76077100284286
17,0.05,conv_block2_relu,72.55486767988096
17,0.05,conv_block3_relu,73.46978305785123
17,0.5,conv_block1_relu,35.206413586903246
17,0.5,conv_block2_relu,50.445052609203955
17,0.5,conv_block3_relu,52.59797908057852
18,0.005,conv_block1_relu,55.71681085187726
18,0.005,conv_block2_relu,51.462695291741944
18,0.005,conv_block3_relu,76.74086389462809
18,0.05,conv_block1_relu,75.145972208607
18,0.05,conv_block2_relu,68.76959559995748
18,0.05,conv_block3_relu,70.10508135330579
18,0.5,conv_block1_relu,44.79171772375257
18,0.5,conv_block2_relu,50.41881443298969
18,0.5,conv_block3_relu,50.59481534090909
19,0.005,conv_block1_relu,55.30079771591021
19,0.005,conv_block2_relu,53.2654904878308
19,0.005,conv_block3_relu,74.04038610537191
19,0.05,conv_block1_relu,69.68679541221448
19,0.05,conv_block2_relu,71.94341853544479
19,0.05,conv_block3_relu,68.21894369834712
19,0.5,conv_block1_relu,35.6285535731791
19,0.5,conv_block2_relu,49.59712775002657
19,0.5,conv_block3_relu,53.02330836776859
