"slope","Type","N","corr","sd","se","ci"
"0.5","Between",20,0.150164664909244,0.0308967748875232,0.00690872889340103,0.014460135759274
"0.5","Within",20,0.458856976032257,0.0211493638658518,0.00472914152849224,0.00989820697583553
"1","Between",20,0.122436464205384,0.0124050839401595,0.00277386109567877,0.00580575799684304
"1","Within",20,0.444716660678387,0.00900484223462256,0.00201354393632771,0.0042143958933419
"2","Between",20,0.170313321053982,0.0147774599267529,0.00330434049309986,0.00691606413601343
"2","Within",20,0.439164051413536,0.0169272152284754,0.00378504039206406,0.00792218058749713
