"Sub","slope","condition","Type","corr","split"
"Sub14","2","Excitated","Between",0.172793835401535,"train"
"Sub15","2","Excitated","Within",0.426019966602325,"train"
"Sub15","2","Excitated","Between",0.157561361789703,"train"
"Sub16","2","Excitated","Within",0.43276458978653,"train"
"Sub16","2","Excitated","Between",0.151515826582909,"train"
"Sub17","2","Excitated","Within",0.395755797624588,"train"
"Sub17","2","Excitated","Between",0.147258281707764,"train"
"Sub18","2","Excitated","Within",0.445153594017029,"train"
"Sub18","2","Excitated","Between",0.168503537774086,"train"
"Sub19","2","Excitated","Within",0.448075503110886,"train"
"Sub19","2","Excitated","Between",0.176617041230202,"train"
"Sub20","2","Excitated","Within",0.448969095945358,"train"
"Sub20","2","Excitated","Between",0.19010728597641,"train"
