Sub,slope,condition,Type,corr,split
Sub16,2.0,Excitated,Within,0.43276458978652954,train
Sub16,2.0,Excitated,Between,0.15151582658290863,train
Sub17,2.0,Excitated,Within,0.395755797624588,train
Sub17,2.0,Excitated,Between,0.14725828170776367,train
Sub18,2.0,Excitated,Within,0.4451535940170288,train
Sub18,2.0,Excitated,Between,0.168503537774086,train
Sub19,2.0,Excitated,Within,0.4480755031108856,train
Sub19,2.0,Excitated,Between,0.17661704123020172,train
Sub20,2.0,Excitated,Within,0.4489690959453583,train
Sub20,2.0,Excitated,Between,0.1901072859764099,train
Sub1,0.5,Inhibitated,Within,0.5411314368247986,test
Sub1,0.5,Inhibitated,Between,0.10849397629499435,test
Sub2,0.5,Inhibitated,Within,0.5857170224189758,test
Sub2,0.5,Inhibitated,Between,0.19153109192848206,test
Sub3,0.5,Inhibitated,Within,0.5825319886207581,test
Sub3,0.5,Inhibitated,Between,0.18781554698944092,test
Sub4,0.5,Inhibitated,Within,0.573614776134491,test
Sub4,0.5,Inhibitated,Between,0.17385448515415192,test
Sub5,0.5,Inhibitated,Within,0.5513248443603516,test
Sub5,0.5,Inhibitated,Between,0.13653549551963806,test
Sub6,0.5,Inhibitated,Within,0.5289172530174255,test
Sub6,0.5,Inhibitated,Between,0.10108880698680878,test
Sub7,0.5,Inhibitated,Within,0.5744943618774414,test
Sub7,0.5,Inhibitated,Between,0.1843392699956894,test
Sub8,0.5,Inhibitated,Within,0.56102055311203,test
Sub8,0.5,Inhibitated,Between,0.15209999680519104,test
Sub9,0.5,Inhibitated,Within,0.5697022676467896,test
Sub9,0.5,Inhibitated,Between,0.1670117825269699,test
Sub10,0.5,Inhibitated,Within,0.5515609979629517,test
Sub10,0.5,Inhibitated,Between,0.11410094052553177,test
Sub11,0.5,Inhibitated,Within,0.5774306654930115,test
Sub11,0.5,Inhibitated,Between,0.18523800373077393,test
Sub12,0.5,Inhibitated,Within,0.5719085335731506,test
Sub12,0.5,Inhibitated,Between,0.17579703032970428,test
Sub13,0.5,Inhibitated,Within,0.5704938173294067,test
Sub13,0.5,Inhibitated,Between,0.1809317022562027,test
Sub14,0.5,Inhibitated,Within,0.5761959552764893,test
Sub14,0.5,Inhibitated,Between,0.1876736730337143,test
Sub15,0.5,Inhibitated,Within,0.5742207169532776,test
Sub15,0.5,Inhibitated,Between,0.1572679579257965,test
Sub16,0.5,Inhibitated,Within,0.5706935524940491,test
Sub16,0.5,Inhibitated,Between,0.16561439633369446,test
Sub17,0.5,Inhibitated,Within,0.5710835456848145,test
Sub17,0.5,Inhibitated,Between,0.1667863428592682,test
Sub18,0.5,Inhibitated,Within,0.597885012626648,test
Sub18,0.5,Inhibitated,Between,0.20694230496883392,test
Sub19,0.5,Inhibitated,Within,0.5534650087356567,test
Sub19,0.5,Inhibitated,Between,0.1453103870153427,test
Sub20,0.5,Inhibitated,Within,0.5959107279777527,test
Sub20,0.5,Inhibitated,Between,0.20187830924987793,test
Sub1,1.0,Balanced,Within,0.5126670002937317,test
Sub1,1.0,Balanced,Between,0.11620593070983887,test
Sub2,1.0,Balanced,Within,0.5197182297706604,test
Sub2,1.0,Balanced,Between,0.12419329583644867,test
Sub3,1.0,Balanced,Within,0.5130858421325684,test
Sub3,1.0,Balanced,Between,0.1173689067363739,test
Sub4,1.0,Balanced,Within,0.5328840613365173,test
Sub4,1.0,Balanced,Between,0.13465403020381927,test
Sub5,1.0,Balanced,Within,0.5264745950698853,test
Sub5,1.0,Balanced,Between,0.14199604094028473,test
Sub6,1.0,Balanced,Within,0.5280179381370544,test
Sub6,1.0,Balanced,Between,0.1492002159357071,test
Sub7,1.0,Balanced,Within,0.5399079322814941,test
Sub7,1.0,Balanced,Between,0.15405017137527466,test
Sub8,1.0,Balanced,Within,0.5238473415374756,test
Sub8,1.0,Balanced,Between,0.13850438594818115,test
Sub9,1.0,Balanced,Within,0.5256180763244629,test
Sub9,1.0,Balanced,Between,0.13709236681461334,test
Sub10,1.0,Balanced,Within,0.5219036340713501,test
Sub10,1.0,Balanced,Between,0.13510014116764069,test
Sub11,1.0,Balanced,Within,0.5188766121864319,test
Sub11,1.0,Balanced,Between,0.12168604880571365,test
Sub12,1.0,Balanced,Within,0.5240773558616638,test
Sub12,1.0,Balanced,Between,0.1256709098815918,test
Sub13,1.0,Balanced,Within,0.5261914730072021,test
Sub13,1.0,Balanced,Between,0.13401304185390472,test
Sub14,1.0,Balanced,Within,0.5284972786903381,test
Sub14,1.0,Balanced,Between,0.14090421795845032,test
Sub15,1.0,Balanced,Within,0.533328115940094,test
Sub15,1.0,Balanced,Between,0.14987115561962128,test
Sub16,1.0,Balanced,Within,0.5121493339538574,test
Sub16,1.0,Balanced,Between,0.11021696031093597,test
Sub17,1.0,Balanced,Within,0.5281359553337097,test
Sub17,1.0,Balanced,Between,0.13434574007987976,test
Sub18,1.0,Balanced,Within,0.5083946585655212,test
Sub18,1.0,Balanced,Between,0.1111501082777977,test
Sub19,1.0,Balanced,Within,0.5271984338760376,test
Sub19,1.0,Balanced,Between,0.13028816878795624,test
Sub20,1.0,Balanced,Within,0.5298335552215576,test
Sub20,1.0,Balanced,Between,0.1450461596250534,test
Sub1,2.0,Excitated,Within,0.5083675980567932,test
Sub1,2.0,Excitated,Between,0.1953410655260086,test
Sub2,2.0,Excitated,Within,0.5167606472969055,test
Sub2,2.0,Excitated,Between,0.18993493914604187,test
Sub3,2.0,Excitated,Within,0.5124133229255676,test
Sub3,2.0,Excitated,Between,0.20465070009231567,test
Sub4,2.0,Excitated,Within,0.5231996774673462,test
Sub4,2.0,Excitated,Between,0.2168973982334137,test
Sub5,2.0,Excitated,Within,0.5249258875846863,test
Sub5,2.0,Excitated,Between,0.20997875928878784,test
Sub6,2.0,Excitated,Within,0.47809359431266785,test
Sub6,2.0,Excitated,Between,0.16265372931957245,test
Sub7,2.0,Excitated,Within,0.4980664551258087,test
Sub7,2.0,Excitated,Between,0.17700165510177612,test
Sub8,2.0,Excitated,Within,0.5124971866607666,test
Sub8,2.0,Excitated,Between,0.18173544108867645,test
Sub9,2.0,Excitated,Within,0.4916558563709259,test
Sub9,2.0,Excitated,Between,0.16816303133964539,test
Sub10,2.0,Excitated,Within,0.4990052580833435,test
Sub10,2.0,Excitated,Between,0.1822378933429718,test
Sub11,2.0,Excitated,Within,0.4997257888317108,test
Sub11,2.0,Excitated,Between,0.17549563944339752,test
Sub12,2.0,Excitated,Within,0.4991151690483093,test
Sub12,2.0,Excitated,Between,0.19247518479824066,test
Sub13,2.0,Excitated,Within,0.5231636166572571,test
Sub13,2.0,Excitated,Between,0.1964472383260727,test
Sub14,2.0,Excitated,Within,0.5011559128761292,test
Sub14,2.0,Excitated,Between,0.19119855761528015,test
Sub15,2.0,Excitated,Within,0.4921312928199768,test
Sub15,2.0,Excitated,Between,0.17940442264080048,test
Sub16,2.0,Excitated,Within,0.4909389615058899,test
Sub16,2.0,Excitated,Between,0.16477935016155243,test
Sub17,2.0,Excitated,Within,0.4720347821712494,test
Sub17,2.0,Excitated,Between,0.16083037853240967,test
Sub18,2.0,Excitated,Within,0.5038487911224365,test
Sub18,2.0,Excitated,Between,0.17666615545749664,test
Sub19,2.0,Excitated,Within,0.49805936217308044,test
Sub19,2.0,Excitated,Between,0.1868896335363388,test
Sub20,2.0,Excitated,Within,0.5105541944503784,test
Sub20,2.0,Excitated,Between,0.20713433623313904,test
