"slope","Epoch","N","Train_Acc","sd","se","ci"
"0.5",1,20,1.013125,0.153654762972745,0.0343582495073676,0.0719126426862828
"0.5",2,20,1.39875,0.174288969062423,0.0389721982551935,0.0815697484012895
"0.5",3,20,1.6425,0.187100451488949,0.0418369328150191,0.0875657067444993
"0.5",4,20,1.90875,0.287574361092735,0.0643035819989426,0.134588943908404
"0.5",5,20,2.230625,0.365796602779828,0.0817946069754183,0.171198079920424
"0.5",6,20,2.725625,0.518878392481524,0.11602473576445,0.242842562861363
"0.5",7,20,3.201875,0.527800721838919,0.118019829260528,0.247018341539447
"0.5",8,20,3.8025,0.46542637497924,0.104072501297489,0.217826248618084
"0.5",9,20,4.305625,0.502403352187735,0.112340804761554,0.235132006657521
"0.5",10,20,4.876875,0.417390763364626,0.0933314120063833,0.195344890361253
"0.5",11,20,5.316875,0.468923652045158,0.104854516223043,0.219463024668176
"0.5",12,20,5.774375,0.437574711665875,0.0978446800519767,0.204791268944672
"0.5",13,20,6.290625,0.390741430016807,0.0873724399143056,0.182872618432986
"0.5",14,20,6.73,0.376955428050641,0.0842897961608765,0.176420570905888
"0.5",15,20,7.125,0.348398592057098,0.077904293510489,0.163055560259139
"0.5",16,20,7.50625,0.369999555476262,0.0827344157689627,0.173165122331857
"0.5",17,20,8.075625,0.424253892299857,0.0948660542901355,0.198556933576058
"0.5",18,20,8.485,0.482567829974519,0.107905447157758,0.225848696502873
"0.5",19,20,8.96,0.358602000464083,0.08018584499051,0.167830902388194
"0.5",20,20,9.426875,0.516524235814943,0.115498330330834,0.241740783626433
"0.5",21,20,10.1175,0.495164114208613,0.110722061938893,0.231743938991789
"0.5",22,20,10.59375,0.485302062745733,0.108516840192033,0.227128356830307
"0.5",23,20,11.240625,0.407573754223182,0.0911362620287827,0.190750388655101
"0.5",24,20,11.61875,0.586925811235745,0.131240601167233,0.274689735158027
"0.5",25,20,12.15625,0.426535538718023,0.0953762459392992,0.199624776970116
"0.5",26,20,12.863125,0.410460969200291,0.0917818629242298,0.192101646858819
"0.5",27,20,13.289375,0.46292254879646,0.103512628742635,0.216654421893371
