0.5,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0.9999999999999998,0.7048911319204482,0.7811767809845361,0.8319346128397782,0.5324171891553385,0.9413456275667473,0.8280664466756186,0.8733108260391265,0.8590683414070543,0.8814337976462167,0.934633079298865,0.6616441036049644,0.6668898396158724,0.5254259992264533,0.6367134222967775,0.8095307966357921,0.5018255759639487,0.443102227960899,0.47054848013052697,0.3687406754159422,0.6429302933751249,0.38435226525280286,0.7123446907744756,0.6934280977717046,0.601804534009275,0.7223042119750068,0.613329175661408,0.5773964592190542,0.6087096732024441,0.5618580691579765,0.9172172760144925,0.7977536866414423,0.8396042594810351,0.7574871173071709,0.787416928489558,0.7922921983731174,0.4288037592667618,0.3601924774686358,0.7918964773405313,0.5609892029540103,0.9018023261716909,0.9491766230838261,0.89175508827737,0.7929971935419251,0.9229445070317842,0.8094547304084393,0.8701960831118398,0.7728791451399947,0.6964302349155043,0.8204336231712872
1,0.7048911319204482,1.0,0.9692701056731029,0.9494642886915035,0.9457165680545416,0.6106224340830726,0.4758612421334252,0.446701928428667,0.41188659070846934,0.509336081427757,0.6394518845434108,0.3890503340467801,0.4046134535450057,0.34659823006934865,0.40143714385176393,0.4418497019471143,0.2691895579949985,0.19105514201719664,0.21280410358204585,0.16062168009952332,0.2892168944396829,0.17161981007254448,0.30306874498012937,0.39265284678866214,0.2970734119963098,0.4121215008593146,0.3017515939207884,0.3083787136310403,0.34611654726921665,0.29183177618208417,0.5899152896134794,0.5339454153623531,0.5592933941356211,0.5325190480408676,0.5419866903240182,0.5020636721924638,0.07399299282888754,0.11325473268243907,0.43481884799126336,0.27065053204192463,0.6486696052840928,0.628450003298313,0.5070907588920671,0.5391006637926173,0.5204593352355715,0.5281915659934685,0.5688892557774652,0.5564383292275693,0.5297580701696207,0.5800985797679435
2,0.7811767809845361,0.9692701056731029,1.0,0.9810047264671631,0.9001064592615006,0.6979148267101035,0.5566230893652957,0.5303513512329687,0.5074884410235813,0.5926715048307257,0.7157001948292224,0.4353655058118231,0.4515090254230409,0.3774004723431439,0.4413163099704746,0.525702872866209,0.33271947829139675,0.261969694031178,0.2803612079269372,0.2221375283659808,0.35989392956896005,0.19351325847148854,0.36592907905675875,0.43881926497731527,0.34772925277021427,0.48504666017698533,0.3628956851486565,0.36758935375936835,0.40541828368375954,0.3415968112733953,0.6742232826194148,0.5857529157030095,0.6193608714877024,0.5753028036886084,0.5932058969332228,0.5989895063963626,0.15144431185135473,0.18938536937489261,0.5201626145893816,0.36171129624884407,0.7135258414091383,0.7174196047419623,0.5970269851444293,0.609739171195982,0.6181080161463578,0.5889235123979243,0.6456694512121179,0.6101671240705231,0.5869582410014677,0.6469080374253537
3,0.8319346128397782,0.9494642886915035,0.9810047264671631,0.9999999999999998,0.8621571579271883,0.7260247403320722,0.5655506985145045,0.5865598149305424,0.5415084509681432,0.6336494761976739,0.7522124802332656,0.4759352853859584,0.5190373154819812,0.40277825113749205,0.4886341603993069,0.6010779759521904,0.35038494699968625,0.299643725909264,0.3292394162684821,0.2642921674692783,0.40935255680782384,0.21667973041880412,0.4200430677856639,0.4906578787933407,0.38577239093303306,0.4720359450003184,0.3489114662474067,0.3394924045085954,0.3792628746587348,0.3247925059337561,0.7514010123922112,0.6729141740279697,0.6982271129168881,0.6604765033404496,0.6802884582438373,0.642871787579292,0.16315760316121736,0.16541527609403606,0.5588270441441971,0.3780718539088465,0.7874829740777136,0.7656220336337665,0.6542364421529543,0.6261267117531426,0.6590061996389635,0.6089321709968158,0.7106843178343675,0.6542915996531048,0.6647403759270971,0.7143429713945797
4,0.5324171891553385,0.9457165680545416,0.9001064592615006,0.8621571579271883,1.0,0.45421846100314883,0.33620156533923334,0.2823816469574735,0.24752378531381478,0.3484956605804169,0.48548103590985553,0.2589195854083761,0.2585201637929998,0.24984855102303152,0.27586599404441775,0.26135095662195806,0.16880463716521896,0.0869244617475788,0.0977894830390111,0.06615778823976777,0.15726332729161374,0.08958473217747343,0.13222595635236917,0.25022445645217745,0.18742519956683898,0.2941234932752999,0.19306152281067185,0.21895534871764535,0.25148447847850336,0.19666153833282143,0.3893455851887271,0.32929608618805317,0.34885350962676503,0.3282323684487355,0.33708384497552213,0.33321446382691294,-0.03518854036102534,0.040516373380428655,0.23931500808771017,0.1277205751400237,0.4545854782033181,0.42440750746657346,0.30822401931651183,0.3689354780367203,0.3365934715381258,0.3845998300602563,0.40489616548614205,0.4144520046756153,0.3772658108889209,0.41760114274617643
5,0.9413456275667473,0.6106224340830726,0.6979148267101035,0.7260247403320722,0.45421846100314883,0.9999999999999999,0.8976768867006751,0.8449435410646593,0.919909479706436,0.8478105603123516,0.966798183617187,0.723466627746483,0.6637832304567209,0.5953443748312708,0.6642432564559152,0.8344288593508553,0.6460697242255503,0.5520131579544353,0.5420542488554789,0.4532140733784445,0.7072243592890542,0.3764584289466565,0.6944876901354993,0.6850520484837456,0.6147100548870208,0.8714673560269741,0.7401091413720075,0.7405714246319371,0.7776881383066913,0.685369894747675,0.8197876635847919,0.6465987194651733,0.6970639276186277,0.5956642255424897,0.6323503229036059,0.7397972973861818,0.49179847171425883,0.4673011383697681,0.7652760985555872,0.5715320964645165,0.7629013583794478,0.8783317085363381,0.8314794848326572,0.7538626533153705,0.9371376738206605,0.8705264894342931,0.8376074119357495,0.7782934489139389,0.6200719023589237,0.7711340407333886
6,0.8280664466756186,0.4758612421334252,0.5566230893652957,0.5655506985145045,0.33620156533923334,0.8976768867006751,1.0,0.8844818943050599,0.9423740804719775,0.9321136017633181,0.8715661704017368,0.6231905614583724,0.4916458748440691,0.4701407206780056,0.5522963097750127,0.6061225711306667,0.3990067902316276,0.2742779903880901,0.25490903163501444,0.15941542949629967,0.478020838246188,0.37759594404537317,0.6602632952704264,0.5812940432131731,0.554754877393973,0.9138265173634603,0.8883802484606294,0.8669213573217105,0.8752296214849671,0.8596566301880785,0.6774243821741569,0.5285275122021339,0.6068544631145314,0.4763290951388705,0.5142122398362301,0.6043129308586087,0.4474350636217419,0.43428686432630026,0.7493051901565827,0.5503976104603828,0.654918131748561,0.7976714804864016,0.7204549498233589,0.7776614024909354,0.8697435937934472,0.8798214277626404,0.7487456065639909,0.7156406340613339,0.4458983371920363,0.6644930702749319
7,0.8733108260391265,0.446701928428667,0.5303513512329687,0.5865598149305424,0.2823816469574735,0.8449435410646593,0.8844818943050599,1.0,0.9133351358318766,0.958695755360735,0.8576527120023518,0.687002137767701,0.6422532947951095,0.5039666291992366,0.6380898209710074,0.705436347426973,0.3522677663291137,0.2955922770065613,0.32390445605037355,0.2136712288100935,0.5586535004357428,0.4817621343207954,0.7783231750308397,0.6738481635966259,0.6498214722245976,0.7243812811303391,0.7250889042239461,0.6537480390697438,0.6561666389946025,0.7073931398805365,0.8402510041840512,0.77145839959072,0.8241370309856713,0.7290542126183139,0.756503542992242,0.7436910230889632,0.5226171544964444,0.42183058556063535,0.8491324292979947,0.644242943469718,0.8491824273363177,0.8672386421153815,0.8503696265209153,0.769227386584426,0.8884983372159522,0.7346223958244085,0.7214232840367928,0.6025879026961521,0.46818072572960007,0.6359228028949223
8,0.8590683414070543,0.41188659070846934,0.5074884410235813,0.5415084509681432,0.24752378531381478,0.919909479706436,0.9423740804719775,0.9133351358318766,1.0,0.9058351650846951,0.9142623598106686,0.6795064503700721,0.6007515427312171,0.5205781282831519,0.6086374951767212,0.7643077838720143,0.5625651432000289,0.47024523772730686,0.4695934262085456,0.3697009961705716,0.6656646239349919,0.4342452864407745,0.7642070895989237,0.6713379484321783,0.6388317656310428,0.8827948102989333,0.8039568850625443,0.7846542882399596,0.8062337862261333,0.7586554334509615,0.7845094536112716,0.6522126503151745,0.7073604458096225,0.6051579792760123,0.6344483501121277,0.6868069247669126,0.5101035729101323,0.440500144504302,0.7724220390652394,0.5770539577239967,0.7327037995861752,0.8434453472439074,0.8414354043389329,0.7662604829377779,0.937841918666232,0.7960111550695467,0.7317069605358165,0.6495003344470698,0.45295287467416334,0.6333958467894251
9,0.8814337976462167,0.509336081427757,0.5926715048307257,0.6336494761976739,0.3484956605804169,0.8478105603123516,0.9321136017633181,0.958695755360735,0.9058351650846951,0.9999999999999998,0.8538799437134045,0.611835590936777,0.5434011525280698,0.42871871446415416,0.5641047380822111,0.6292983026002843,0.28905055776809724,0.21128059090306678,0.23205981075471854,0.12194439338526893,0.4724964854281546,0.41082950496458603,0.7194413016656643,0.6220426359928535,0.5840179648280712,0.7548265767732512,0.7598761287098602,0.6878917539400056,0.6935489787896959,0.7447598494901755,0.8010810575146408,0.7099921482117508,0.7782770219856654,0.6677245467847456,0.6994520047607921,0.6935283600383055,0.44728223815875257,0.37275973236948196,0.8127174005985844,0.592199492314951,0.8199168433444068,0.8736029424049084,0.809480811448676,0.8083784508036186,0.8716915445622884,0.7984908788845567,0.7633961345995749,0.6766553585356013,0.5074065449322851,0.6934041832772098
