0.005,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,1.0,0.32730646676027736,0.30618371751440143,0.27652657571919365,0.29074256118088965,0.6482216096633439,0.8542591812683942,0.8733201949583504,0.8533845871308177,0.8407995812003826,0.7196543072713856,0.010706246106165175,0.1307103945697778,0.10749389817802277,0.06216409861059046,-0.0066755104089611895,0.018083639724864604,0.0009067764226051798,0.012146492838117197,0.01057690304500155,0.147332372436607,0.1532532898157172,0.11861807585113365,0.1366653591660167,0.12239306192148185,0.06909554165890702,0.005331736613500967,-0.005178388288673683,0.005079306179316451,0.009430927073381605,0.03367394672643682,0.026912396448318224,0.027771929491657833,0.012831460941256598,0.03148924966206846,-0.10831574138027318,-0.12761564376568715,-0.06411876312395764,-0.09846459222115192,-0.07200411207032972,0.041467055606822255,-0.028016689335199126,-0.008725651827105822,-0.02195874739078542,-0.031097018784129685,0.2873286068226666,0.1038675763505117,0.12347364046495139,0.08175163309306409,0.11092507948465105
1,0.32730646676027736,1.0,0.928442133795517,0.9347150681665811,0.9718169413289977,0.24317015570423325,0.022029555079759795,0.05113648186312609,0.02988592815213454,0.0031934345571408285,0.5716399764970034,-0.07218081621380794,-0.09692818551353549,-0.057072733660182916,-0.04818144468185588,-0.039449722998373585,0.01257902009571966,-0.008045145079220101,0.003448904795547963,0.011711483797652683,0.048340321249477625,0.010714955739587405,-0.022958978827421424,-0.04941965923420728,-0.012414718326641563,0.2609014773379522,-0.12499260695823713,-0.14961810829717614,-0.10247246686119316,-0.08272667508531394,0.24020832598006403,0.0342714002852897,0.026616330273720158,0.03844234325755152,0.052412908259773856,-0.033398762068578225,-0.08221688106232015,-0.023015686652986814,-0.002409942696368926,-0.04186846846582086,0.2487789998321188,0.022203595010482198,0.0434889752664612,0.04605583259628039,0.007498767709100818,-0.07389400434109415,0.028087381499117485,-0.005872083046136565,-0.020168896748194436,-0.012080731494757545
2,0.30618371751440143,0.928442133795517,1.0,0.9942894100318532,0.9616667473207758,0.26320550068451387,0.03689618056514602,0.054265747048062155,0.042451391145990024,0.02111606057639496,0.5054571333330471,-0.13023144615308324,-0.14494197853910656,-0.11656246462934534,-0.1078781120663338,-0.02721844948744134,-0.03878145215923249,-0.06670467320716994,-0.053875097627408115,-0.04777790029892819,-0.023659047205636344,-0.03891147922526284,-0.058197160509342705,-0.08836898088059623,-0.05409822050419841,0.30272398672629913,0.0025023568221409606,-0.02294713194512397,0.02250655892584688,0.03632407139454142,0.26793369299458236,0.04338150333727867,0.029257583712434587,0.04347796161718199,0.05722218090072435,-0.005389199211416963,-0.12326578073809845,-0.06848910663483061,-0.032551337163561844,-0.0756808784811734,0.27703203995211384,0.0009444746857283148,0.02160367459969164,0.027547359614425098,-0.00975258350827107,-0.07135383453266267,0.09243432486051263,0.0420455742416753,0.04075997238320642,0.04311517336954967
3,0.27652657571919365,0.9347150681665811,0.9942894100318532,0.9999999999999998,0.964898536526273,0.2579656165557565,0.008975691024877016,0.026663104976436255,0.01687778439593491,-0.006568678148327806,0.49799645774178514,-0.11578839101363918,-0.13435663830670336,-0.103938465428602,-0.09386153593612219,-0.012965927002037863,-0.02790320666370062,-0.0561427847717199,-0.042472255647632726,-0.03683475343187589,-0.042828384986387476,-0.0581249334818441,-0.08137844936516514,-0.10897858029134118,-0.07403633167939887,0.2796370228670092,-0.006854710405764261,-0.03583966296226045,0.017206044722131362,0.03606786434172178,0.30408756883188054,0.07720671584709202,0.06381769964071271,0.07676575445286425,0.09330439270726781,0.020414483163216222,-0.12050320809231027,-0.07045767353418668,-0.03520529138607843,-0.07947880076927265,0.30316369546270105,0.007703830218766831,0.030428981056089932,0.03577368983764428,-0.001903699096964824,-0.0864709615175761,0.1012811875251797,0.051489920801437654,0.04743047572533322,0.051858776668357004
4,0.29074256118088965,0.9718169413289977,0.9616667473207758,0.964898536526273,1.0,0.2677190122621626,-0.004308611154145422,0.01634548003805395,0.01126956009820437,-0.02241327731703508,0.5242869463279076,-0.0583435098298841,-0.07984028139541417,-0.04470885631276054,-0.0331966366202628,0.015570134749555079,-0.007179632721774297,-0.03647558966678083,-0.020546954384958068,-0.012637376015742592,0.005291388795218496,-0.022858962504501257,-0.04275232920244859,-0.07122826634143566,-0.04315214101941882,0.2315454506976189,-0.10680325103089734,-0.13328847135559885,-0.08776447813966162,-0.06898437859996835,0.24076210153142455,0.035078042576186845,0.023640390665023145,0.03721329060482874,0.04987183847766721,0.014314787276703362,-0.07324972677754914,-0.017155227735715865,0.012371509085044733,-0.036492756640142225,0.24810079230307194,0.010676612923139437,0.036156314449567836,0.03479862378149921,-2.106682678450997e-05,-0.045888059142521406,0.09350038973154973,0.05346135003221363,0.044485592692876746,0.04886485597438357
5,0.6482216096633439,0.24317015570423325,0.26320550068451387,0.2579656165557565,0.2677190122621626,1.0,0.4358978310024123,0.45162821008400156,0.46010141063669896,0.4322926175986387,0.3743448281548617,-0.018398706205424928,0.16173287195156563,0.08409979619290653,0.04766756604911532,0.43876652940389665,-0.11137819139565597,-0.10064405042801677,-0.11317338423669379,-0.10857935424420984,0.12017244538841759,0.16778158597485834,0.17525183406009234,0.2000600165875241,0.13386284469855497,-0.12705232703709016,-0.09404615145322104,-0.09510728901390737,-0.07785823088285743,-0.06060926477789939,0.18485611805134686,0.109725992275374,0.10308630137192322,0.11753902170090773,0.11795207818511363,0.2696252994063123,-0.09298250107951489,-0.04565383432982668,-0.03131994338203091,-0.043708098095619215,0.22958903869246028,-0.005029296081126224,0.0024183973396426127,0.011396838418822103,0.024102592175013725,0.6440215104852635,0.7485505936182514,0.7625957498698652,0.7191089217326894,0.7505803153952668
6,0.8542591812683942,0.022029555079759795,0.03689618056514602,0.008975691024877016,-0.004308611154145422,0.4358978310024123,1.0,0.9631600186867758,0.982142739280248,0.9975141601863549,0.49984451705172683,0.11532013370266685,0.1976185273092643,0.19065198480035261,0.14189037778689037,-0.08750925083115954,-0.05059667408515757,-0.07142945705902315,-0.051770852332108576,-0.06417358210674165,0.08040888234780427,0.08773962570937427,0.03854634753437412,0.07476348620830914,0.06725022138010316,0.09562108162360064,0.12784983752665988,0.11384856398563631,0.0816977598198875,0.09215612550848763,-0.006121382098808814,0.06266863600028805,0.06416268712192023,0.035093492353067635,0.060556094069481856,-0.11003190152022936,0.014796364280344046,0.07633735314446406,0.025633654448897623,0.05677622331127822,-0.07413622776210031,-0.0738510573644152,-0.07028075665316158,-0.09360339355468103,-0.08760528006424764,0.21996692028597453,-0.025051471331036433,-0.011288167052433776,-0.04944986103852199,-0.0227174236409057
7,0.8733201949583504,0.05113648186312609,0.054265747048062155,0.026663104976436255,0.01634548003805395,0.45162821008400156,0.9631600186867758,0.9999999999999998,0.9265806653758183,0.953038035972545,0.5373586098408328,0.12490715841353596,0.22232005684597397,0.21292230202546067,0.1713153145272857,-0.02545170350444627,-0.012337599143478678,-0.04128499754217145,-0.020208917296791522,-0.03252207317710003,0.11596334914735093,0.13252533368470476,0.08990172964078798,0.12211528507602298,0.11092229377256035,0.028285630121050873,0.057345363518292454,0.040028697872531216,0.02888304926703662,0.03575395357035796,-0.0040816284126838605,0.06828391252309109,0.07276875500564874,0.04239861412602372,0.06562889288322146,-0.11078344554428408,-0.03162613707084032,0.03501078519490521,-0.005752195384680044,0.020420966905724702,-0.08313990271153215,-0.1290481517590858,-0.12114411665394118,-0.13791826446572641,-0.14488552737341778,0.1721313389024011,-0.013169647901078219,0.006121542457128762,-0.03746611975269627,-0.01076172923869304
8,0.8533845871308177,0.02988592815213454,0.042451391145990024,0.01687778439593491,0.01126956009820437,0.46010141063669896,0.982142739280248,0.9265806653758183,0.9999999999999998,0.9837111067253914,0.4945881872343816,0.09282107726041172,0.17944904356470778,0.16976866459857456,0.12215261103823145,-0.12336233758143841,-0.06855964269650613,-0.0872577312839166,-0.06605112727736256,-0.07713105754709539,0.09492717851743988,0.09966059235172103,0.04780292257614315,0.08632129443067119,0.0780257383798265,0.1033072578519997,0.11442948230933771,0.10285025651212404,0.07211531124244426,0.08041348629473243,-0.01512656822714583,0.045433636588884156,0.04636615410973813,0.016535839600159623,0.04449738121120409,-0.1434381811985103,0.022987571491106827,0.07897188609573633,0.02589582494592901,0.05585900746141796,-0.042616713453708537,0.003722300785728952,0.007878513696707126,-0.016732488147119657,-0.004792778729109398,0.27654263872411333,-0.003980810923962455,-0.002998099867995194,-0.04049629882505482,-0.011323492946008427
9,0.8407995812003826,0.0031934345571408285,0.02111606057639496,-0.006568678148327806,-0.02241327731703508,0.4322926175986387,0.9975141601863549,0.953038035972545,0.9837111067253914,0.9999999999999998,0.4864630159939483,0.12360772184805227,0.20560267557009418,0.19736858572979332,0.1484981014821862,-0.07589813438571641,-0.04616452987752118,-0.06966276973480767,-0.04850385750520977,-0.06194728876597821,0.08075380895000496,0.08857196268514043,0.03971101474997908,0.07636409757210341,0.06796323568045694,0.10555182789239714,0.133954596917641,0.12117809773031389,0.09006828778787841,0.0982787643520655,-0.00792016428904663,0.05875369928319645,0.06015952059153835,0.02976807569157681,0.05506546999174291,-0.10113113970536068,0.0430101256319767,0.10557202280625395,0.05303403798286538,0.0848956875179535,-0.07053780176598769,-0.057794985822655756,-0.05584985318503594,-0.0809221895935725,-0.07214805761531054,0.2367805553443227,-0.01999340098067243,-0.006197138864702977,-0.04331455180809128,-0.017433475653281717
