"noise","Epoch","N","Acc","sd","se","ci"
"0",0,20,0.106250001955777,0.0485818620085519,0.0108632345924637,0.0227370113107069
"0",10,20,0.228750003129244,0.0629719062758701,0.0140809463105591,0.0294717593368322
"0",20,20,0.381250000745058,0.117785206494965,0.0263375728466591,0.0551251735027885
"0",30,20,0.489999997615814,0.108639916252134,0.0242926237809655,0.0508450459182522
"0",40,20,0.613749998807907,0.102107722846211,0.0228319809311836,0.0477878852987592
"0",50,20,0.675,0.0899561327972343,0.0201148027927614,0.0421007660949291
"0",60,20,0.757500001788139,0.0847209131162856,0.0189441720843868,0.039650607863472
"0",70,20,0.794999995827675,0.0883325073160331,0.0197517490981648,0.0413408859790965
"0",80,20,0.84375,0.0524874671757613,0.0117365544571791,0.0245648907947489
"0",90,20,0.857500001788139,0.0550717144831345,0.0123144097221748,0.0257743557643515
"0",100,20,0.872499996423721,0.0643285159942864,0.0143842934654907,0.0301066722289403
"0",110,20,0.859999996423721,0.0496036980641848,0.0110917240806892,0.0232152453057424
"0",120,20,0.879999998211861,0.0631414456237485,0.0141188564612308,0.0295511061940943
"0",130,20,0.904999995231628,0.0497361448432186,0.0111213400808212,0.0232772323064141
"0",140,20,0.918749997019768,0.0412589675602824,0.00922578561462502,0.0193097912122243
"0",150,20,0.921249994635582,0.055176154637774,0.0123377632507103,0.0258232352613315
"0",160,20,0.947499999403954,0.0255209027366979,0.0057066473366417,0.0119441501456162
"0",170,20,0.938749998807907,0.0329223611611088,0.00736166375360382,0.0154081393167586
"0",180,20,0.942500001192093,0.0445001505201218,0.00995053615719649,0.0208267115312719
"0",190,20,0.945000004768372,0.032036171903496,0.00716350581150859,0.0149933899773812
"0",200,20,0.955000007152557,0.0376968540763813,0.00842927282526785,0.0176426707844559
"0",210,20,0.950000002980232,0.0421463697088258,0.00942421476737725,0.0197251082020306
"0",220,20,0.953750002384186,0.0284177055767607,0.00635439214342119,0.0132998956073237
"0",230,20,0.968750002980232,0.0279508560320161,0.00625000141168981,0.0130814032947527
"0",240,20,0.962500008940697,0.0348870350718119,0.00780097819539907,0.016327635010885
"0",250,20,0.967500004172325,0.024468027515882,0.00547121728008475,0.0114513893741118
"0",260,20,0.970000004768372,0.0251312367444134,0.00561951537191488,0.0117617808475351
"0",270,20,0.966250014305115,0.0247021748781618,0.00552357422196575,0.011560973712884
"0",280,20,0.970000010728836,0.0251312348719902,0.00561951495322832,0.0117617799712141
"0",290,20,0.976250007748604,0.0221760311629551,0.00495871131515213,0.0103787020614801
"0",300,20,0.968750005960465,0.0241636445950626,0.00540315518987053,0.0113089337821001
"0",310,20,0.981250008940697,0.0241636372923071,0.00540315355692475,0.0113089303643053
"0",320,20,0.975000008940697,0.021459878343817,0.00479857467656505,0.0100435322249252
"0",330,20,0.972500005364418,0.0279802611861122,0.00625657660403457,0.0130951653304926
"0",340,20,0.986250007152557,0.0171583154206952,0.00383671596600575,0.00803033880678244
"0",350,20,0.986250004172325,0.0221760279800367,0.00495871060342994,0.0103787005718284
"0",360,20,0.976250007748604,0.0274760634853675,0.00614383457073815,0.0128591935428603
"0",370,20,0.985000005364418,0.0188484253738181,0.00421463604046891,0.00882133461327761
"0",380,20,0.988750004768372,0.0171583163348536,0.00383671617041777,0.00803033923462173
"0",390,20,0.985000005364418,0.0188484253738181,0.00421463604046891,0.00882133461327761
"0",400,20,0.982500013709068,0.0142810077842256,0.00319333041927321,0.00668371738121261
"0",410,20,0.983750009536743,0.016770506464179,0.0037499992471004,0.00784883862819418
"0",420,20,0.982500007748604,0.0216126153163306,0.00483272770188683,0.0101150153284545
"0",430,20,0.98500000834465,0.0170139228655707,0.00380442880913541,0.00796276101080438
"0",440,20,0.988750004768372,0.0171583163348536,0.00383671617041777,0.00803033923462173
"0",450,20,0.983750003576279,0.0203181939889654,0.00454328629393543,0.00950920749927044
"0",460,20,0.987500005960464,0.0172061773054478,0.00384741820878954,0.00805273885836504
"0",470,20,0.99125000834465,0.0122340004559766,0.00273560566563271,0.00572568846154493
"0",480,20,0.981250005960465,0.0196599390881874,0.00439609602346921,0.00920113472260978
"0",490,20,0.991250005364418,0.0146785685326334,0.00328222770513577,0.00686978153889455
"0",500,20,0.996250003576279,0.00915867997890684,0.0020479431017002,0.00428639417391809
"0",510,20,0.988750007748604,0.0151201265908047,0.00338096308854415,0.00707643707138952
"0",520,20,0.992500007152557,0.0117540474399968,0.00262828490865902,0.00550106353566167
"0",530,20,0.990000003576279,0.0170139247094038,0.00380442922142903,0.00796276187374483
"0",540,20,0.991250005364418,0.0146785685326334,0.00328222770513577,0.00686978153889455
"0",550,20,0.988750010728836,0.0127604324690426,0.00285331944230748,0.00597206622766046
"0",560,20,0.990000006556511,0.0149560701673136,0.00334427895703699,0.00699965630172996
"0",570,20,0.992500004172325,0.0142810099809077,0.00319333091046625,0.00668371840929145
"0",580,20,0.987500005960464,0.0172061773054478,0.00384741820878954,0.00805273885836504
"0",590,20,0.993750002980232,0.0179087549491333,0.00400451934586478,0.00838155531723842
"0",600,20,0.995000001788139,0.0130787074154826,0.00292448788388496,0.00612102348779688
"0",610,20,0.990000006556511,0.0149560701673136,0.00334427895703699,0.00699965630172996
