"slope","Type","N","corr","sd","se","ci"
"0.005","Between",20,0.0230126784853934,0.0182026513361531,0.00407023657583656,0.00851910306035843
"0.005","Within",20,0.961385091150495,0.0117555727592823,0.00262862598041999,0.00550177740706166
"0.05","Between",20,0.0746427407882895,0.0613960496297974,0.0137285740522178,0.0287342357240175
"0.05","Within",20,0.96688370827175,0.0078747938846075,0.0017608574434782,0.00368551698558379
"0.5","Between",20,0.137234103890422,0.0696275408510603,0.0155691914449114,0.0325866922018877
"0.5","Within",20,0.900641275602784,0.032215249020064,0.00720354867209466,0.0150772006477952
