"slope","Type","N","corr","sd","se","ci"
"0.005","Between",20,0.843324370709541,0.123324953587968,0.0275762979544703,0.0577178549502371
"0.005","Within",20,0.972032186391673,0.0185293783583141,0.00414329495900038,0.00867201601369648
"0.05","Between",20,0.961964951571764,0.0266577088581559,0.0059608449131235,0.0124761917877649
"0.05","Within",20,0.996207240495873,0.00216304895446443,0.000483672450084232,0.0010123380724809
"0.5","Between",20,0.326902037313074,0.125126213432643,0.0279790719002537,0.0585608705072506
"0.5","Within",20,0.83409420622706,0.0419805742153911,0.00938714176800894,0.0196475135225837
