"slope","Epoch","N","Acc","sd","se","ci"
"0.005",840,20,0.995000004768372,0.0102597737363595,0.00229415515082668,0.00480172191522495
"0.005",850,20,0.996250000596046,0.0122340123155589,0.00273560831751592,0.00572569401200026
"0.005",860,20,0.992500004172325,0.0142810099809077,0.00319333091046625,0.00668371840929145
"0.005",870,20,0.993750002980232,0.0137529869691028,0.00307526137565827,0.00643659603284555
"0.005",880,20,0.998750001192093,0.00559016461254795,0.0012499988079071,0.00261627757293127
"0.005",890,20,0.990000003576279,0.0170139247094038,0.00380442922142903,0.00796276187374483
"0.005",900,20,0.996250003576279,0.00915867997890684,0.0020479431017002,0.00428639417391809
"0.005",910,20,0.99125000834465,0.0122340004559766,0.00273560566563271,0.00572568846154493
"0.005",920,20,0.991250002384186,0.0167705092700722,0.00374999987451719,0.00784883994139262
"0.005",930,20,0.993750002980232,0.0179087549491333,0.00400451934586478,0.00838155531723842
"0.005",940,20,0.995000001788139,0.0130787074154826,0.00292448788388496,0.00612102348779688
"0.005",950,20,0.998750001192093,0.00559016461254795,0.0012499988079071,0.00261627757293127
"0.005",960,20,0.990000000596046,0.0220644983274193,0.004933771814954,0.0103265030876605
"0.005",970,20,0.993750002980232,0.0179087549491333,0.00400451934586478,0.00838155531723842
"0.005",980,20,0.990000003576279,0.0235081189004476,0.00525657518845484,0.0110021383132419
"0.005",990,20,0.991250002384186,0.0167705092700722,0.00374999987451719,0.00784883994139262
"0.005",999,20,0.993750002980232,0.0137529869691028,0.00307526137565827,0.00643659603284555
"0.05",0,20,0.10375000257045,0.0474861488579866,0.0106182256836132,0.0222242017709386
"0.05",10,20,0.26875000372529,0.0768949234172996,0.0171942275885722,0.0359879319398527
"0.05",20,20,0.404999999701977,0.122903473395848,0.0274820521183952,0.057520596148304
"0.05",30,20,0.518749998509884,0.0838525495069804,0.0187500000784275,0.0392442011843064
"0.05",40,20,0.598749998211861,0.0901296622170157,0.0201536051506341,0.0421819803633245
"0.05",50,20,0.676249998807907,0.11795264923006,0.0263750141804603,0.0552035391150638
"0.05",60,20,0.733750003576279,0.0820281501318184,0.0183420519763304,0.0383903559936671
"0.05",70,20,0.789999994635582,0.0981406066701202,0.0219449067867458,0.0459312177764071
"0.05",80,20,0.801249998807907,0.0784198408071536,0.0175352094829507,0.0367016152469046
"0.05",90,20,0.826249995827675,0.087912558432222,0.0196578456730371,0.0411443438515129
"0.05",100,20,0.866249999403954,0.0569365943089789,0.0127314095282204,0.0266471463890885
"0.05",110,20,0.885000002384186,0.0534346591080444,0.0119483530120116,0.0250081902647022
"0.05",120,20,0.888749998807907,0.037587614062477,0.00840484601557255,0.0175915448841912
"0.05",130,20,0.925000002980232,0.0472952664729444,0.010575543084747,0.022134866064807
"0.05",140,20,0.912499997019768,0.0275059810663956,0.00615052434522827,0.0128731954017867
"0.05",150,20,0.943749994039536,0.0342926775883024,0.00766807582179277,0.016049467146039
"0.05",160,20,0.933749997615814,0.0306454794085355,0.00685253751605553,0.0143425258548396
"0.05",170,20,0.933750003576279,0.0391311883636379,0.00874999972214432,0.0183139598945141
"0.05",180,20,0.958750000596046,0.0346742402124116,0.0077533958183109,0.0162280439510735
"0.05",190,20,0.941249999403954,0.0337122166986458,0.00753828082103755,0.0157778030873164
"0.05",200,20,0.96125001013279,0.0206394557928042,0.00461512261713119,0.00965956265169941
"0.05",210,20,0.945000001788139,0.0309923663795523,0.00693010380082579,0.0145048739546748
"0.05",220,20,0.976250007748604,0.0189788699580497,0.00424380433623277,0.00888238455793748
"0.05",230,20,0.957500007748604,0.024468027515882,0.00547121728008476,0.0114513893741118
"0.05",240,20,0.963750010728836,0.0274760724766692,0.00614383658125433,0.012859197750919
"0.05",250,20,0.975000005960465,0.0229415754381973,0.00512989221907487,0.0107369878110457
"0.05",260,20,0.965000009536743,0.0338339596157912,0.00756550336488919,0.0158347805264201
"0.05",270,20,0.96000000834465,0.0261574202278616,0.00584897697455266,0.0122420495014191
"0.05",280,20,0.971250009536743,0.0284177055767607,0.00635439214342119,0.0132998956073237
"0.05",290,20,0.975000008940697,0.0181369105769322,0.00405553649518552,0.00848833543795407
"0.05",300,20,0.975000008940697,0.0334428012959311,0.007478037705572,0.0156517127975345
"0.05",310,20,0.977500006556511,0.0255208879860211,0.0057066440382901,0.0119441432420869
"0.05",320,20,0.981250008940697,0.0179087593284008,0.00400452032509878,0.00838155736679872
"0.05",330,20,0.980000007152557,0.0191942987062612,0.00429197566876362,0.00898320831565745
"0.05",340,20,0.973750004172325,0.0236128339243125,0.00527999017961759,0.0110511464529793
"0.05",350,20,0.977500012516975,0.01970172146941,0.00440543884793678,0.00922068947895651
"0.05",360,20,0.983750006556511,0.0186289947935781,0.00416556987109303,0.00871863794051624
"0.05",370,20,0.986250007152557,0.0171583154206952,0.00383671596600575,0.00803033880678244
"0.05",380,20,0.981250011920929,0.0159666563943085,0.00357025290710555,0.00747262521489311
"0.05",390,20,0.975000005960465,0.0344123591689701,0.00769483743679553,0.0161054798499746
"0.05",400,20,0.990000003576279,0.0170139247094038,0.00380442922142903,0.00796276187374483
"0.05",410,20,0.988750004768372,0.0171583163348536,0.00383671617041777,0.00803033923462173
"0.05",420,20,0.990000006556511,0.0149560701673136,0.00334427895703699,0.00699965630172996
"0.05",430,20,0.977500009536743,0.0179546232581734,0.00401477581156745,0.00840302234666732
"0.05",440,20,0.991250005364418,0.0146785685326334,0.00328222770513577,0.00686978153889455
"0.05",450,20,0.981250008940697,0.0241636372923071,0.00540315355692475,0.0113089303643053
"0.05",460,20,0.988750004768372,0.0236128254547924,0.00527998828577532,0.0110511424891218
"0.05",470,20,0.991250005364418,0.0146785685326334,0.00328222770513577,0.00686978153889455
"0.05",480,20,0.980000013113022,0.0223606738826195,0.00499999868242413,0.0104651175143236
"0.05",490,20,0.986250004172325,0.01897886623894,0.00424380350461456,0.00888238281734055
"0.05",500,20,0.986250001192093,0.0206394510429678,0.00461512155503549,0.00965956042870757
"0.05",510,20,0.992500007152557,0.0117540474399968,0.00262828490865902,0.00550106353566167
"0.05",520,20,0.988750004768372,0.0171583163348536,0.00383671617041777,0.00803033923462173
"0.05",530,20,0.985000002384186,0.0261574220268261,0.00584897737681335,0.0122420503433604
"0.05",540,20,0.98500000834465,0.0170139228655707,0.00380442880913541,0.00796276101080438
"0.05",550,20,0.988750007748604,0.0151201265908047,0.00338096308854415,0.00707643707138952
"0.05",560,20,0.991250005364418,0.0146785685326334,0.00328222770513577,0.00686978153889456
"0.05",570,20,0.996250003576279,0.00915867997890684,0.0020479431017002,0.00428639417391809
"0.05",580,20,0.98625001013279,0.0151201260721114,0.00338096297256079,0.00707643682863356
"0.05",590,20,0.993750002980232,0.0137529869691028,0.00307526137565827,0.00643659603284555
"0.05",600,20,0.987500008940697,0.0151744177477843,0.0033931029603025,0.00710184611499717
"0.05",610,20,0.988750007748604,0.0151201265908047,0.00338096308854415,0.00707643707138952
"0.05",620,20,0.98625001013279,0.0151201260721114,0.00338096297256079,0.00707643682863356
"0.05",630,20,0.985000005364418,0.0188484253738181,0.00421463604046891,0.00882133461327761
"0.05",640,20,0.990000006556511,0.0149560701673136,0.00334427895703699,0.00699965630172996
"0.05",650,20,0.990000006556511,0.0149560701673136,0.00334427895703699,0.00699965630172996
"0.05",660,20,0.990000006556511,0.0149560701673136,0.00334427895703699,0.00699965630172996
"0.05",670,20,0.991250005364418,0.0146785685326334,0.00328222770513577,0.00686978153889455
"0.05",680,20,0.993750002980232,0.0179087549491333,0.00400451934586478,0.00838155531723842
"0.05",690,20,0.996250003576279,0.00915867997890684,0.0020479431017002,0.00428639417391809
"0.05",700,20,1,0,0,0
"0.05",710,20,0.995000004768372,0.0102597737363595,0.00229415515082668,0.00480172191522495
"0.05",720,20,0.988750004768372,0.0171583163348536,0.00383671617041777,0.00803033923462173
"0.05",730,20,0.987500002980232,0.0190221481686145,0.00425348163830951,0.00890263938396587
"0.05",740,20,0.992500004172325,0.0142810099809077,0.00319333091046625,0.00668371840929145
"0.05",750,20,0.992500004172325,0.0142810099809077,0.00319333091046625,0.00668371840929145
"0.05",760,20,0.993750002980232,0.0137529869691028,0.00307526137565827,0.00643659603284555
"0.05",770,20,0.996250003576279,0.00915867997890684,0.0020479431017002,0.00428639417391809
"0.05",780,20,0.987500002980232,0.0190221481686145,0.00425348163830951,0.00890263938396587
"0.05",790,20,0.991250005364418,0.0186289888996427,0.00416556855316901,0.00871863518206955
"0.05",800,20,0.992500004172325,0.0142810099809077,0.00319333091046625,0.00668371840929145
"0.05",810,20,0.993750005960464,0.0111065308659596,0.00248349580104853,0.0051980164506166
"0.05",820,20,0.996250003576279,0.00915867997890684,0.0020479431017002,0.00428639417391809
"0.05",830,20,0.992500004172325,0.0142810099809077,0.00319333091046625,0.00668371840929145
"0.05",840,20,0.991250005364418,0.0146785685326334,0.00328222770513577,0.00686978153889455
"0.05",850,20,0.996250003576279,0.00915867997890684,0.0020479431017002,0.00428639417391809
"0.05",860,20,0.991250005364418,0.0146785685326334,0.00328222770513577,0.00686978153889455
"0.05",870,20,0.997500002384186,0.0076948303022696,0.00172061636312001,0.00360129143641872
"0.05",880,20,0.996250000596046,0.0122340123155589,0.00273560831751592,0.00572569401200026
"0.05",890,20,0.996250000596046,0.0122340123155589,0.00273560831751592,0.00572569401200026
"0.05",900,20,0.992500004172325,0.0142810099809077,0.00319333091046625,0.00668371840929145
"0.05",910,20,0.992500007152557,0.0117540474399968,0.00262828490865902,0.00550106353566167
"0.05",920,20,0.995000001788139,0.0130787074154826,0.00292448788388496,0.00612102348779688
"0.05",930,20,0.992500004172325,0.0142810099809077,0.00319333091046625,0.00668371840929145
"0.05",940,20,0.996250003576279,0.00915867997890684,0.0020479431017002,0.00428639417391809
"0.05",950,20,0.993750002980232,0.0137529869691028,0.00307526137565827,0.00643659603284555
"0.05",960,20,0.993750005960464,0.0111065308659596,0.00248349580104853,0.0051980164506166
"0.05",970,20,0.996250000596046,0.0122340123155589,0.00273560831751592,0.00572569401200026
"0.05",980,20,1,0,0,0
"0.05",990,20,0.997500002384186,0.0076948303022696,0.00172061636312001,0.00360129143641872
"0.05",999,20,0.998750001192093,0.00559016461254795,0.0012499988079071,0.00261627757293127
"0.5",0,20,0.0850000016391277,0.0424574093088647,0.00949376533631539,0.0198706792158159
"0.5",10,20,0.198750003054738,0.071852829699252,0.0160667811583243,0.033628159441287
"0.5",20,20,0.181250000372529,0.075164291536987,0.0168072465357315,0.0351779712876568
"0.5",30,20,0.221250000596046,0.0655317321835052,0.0146533407845628,0.0306697947395323
"0.5",40,20,0.224999999627471,0.0707106757063024,0.0158113877614235,0.0330936149182366
"0.5",50,20,0.223749998956919,0.0727626789831148,0.016270229643124,0.0340539820138056
"0.5",60,20,0.231250001862645,0.0810600027628702,0.0181255676434098,0.0379372490774617
"0.5",70,20,0.26000000089407,0.0762613219107842,0.0170525499846508,0.0356913973068741
"0.5",80,20,0.28000000230968,0.0825577963346346,0.0184604844676826,0.0386382380468906
"0.5",90,20,0.270000000298023,0.0714511255982511,0.0159769573906565,0.0334401561349006
"0.5",100,20,0.307499998062849,0.103904052023516,0.0232336523462257,0.0486285932324104
"0.5",110,20,0.318750001117587,0.0941984884949229,0.021063422365238,0.044086249678605
"0.5",120,20,0.383750000596046,0.0939887311524797,0.0210165191975897,0.0439880802204892
"0.5",130,20,0.356249999254942,0.0906391769322206,0.0202675361045076,0.0424204405903233
"0.5",140,20,0.378750001639128,0.0893231102448807,0.0199732546469261,0.0418045024208389
"0.5",150,20,0.392499996721745,0.105162782856202,0.0235151131169517,0.0492176973959122
"0.5",160,20,0.417499998211861,0.123570771078457,0.0276312644163495,0.0578329010771358
"0.5",170,20,0.403749997913837,0.0922222000384929,0.0206215108320654,0.0431613182097544
"0.5",180,20,0.436249999701977,0.0908566687956432,0.0203161687636242,0.0425222299156842
"0.5",190,20,0.447499997913837,0.0826772395768317,0.0184871927885832,0.0386941392049884
"0.5",200,20,0.455000001192093,0.0961769262774281,0.0215058145023315,0.0450121870630229
"0.5",210,20,0.474999998509884,0.121936134302844,0.0272657485214702,0.057067867516885
"0.5",220,20,0.47124999910593,0.106769240202586,0.0238743278998985,0.049969542577319
"0.5",230,20,0.488750004768372,0.111353817145804,0.02489947046921,0.0521151906340858
"0.5",240,20,0.500000001490116,0.11669799340333,0.0260944646087667,0.054616342113055
"0.5",250,20,0.506249998509884,0.116097452411089,0.0259601795605742,0.0543352802770408
"0.5",260,20,0.504999996721745,0.131938979162187,0.0295024526288579,0.0617493430162413
"0.5",270,20,0.48999999910593,0.088257997575014,0.0197350882135743,0.0413060143468809
"0.5",280,20,0.527499997615814,0.112653407230791,0.0251900676465014,0.0527234175163
"0.5",290,20,0.516249997913837,0.108602063306048,0.024284159604906,0.0508273301941588
"0.5",300,20,0.547499993443489,0.105100200560604,0.0235011192902371,0.0491884079799854
"0.5",310,20,0.525000001490116,0.122742778195574,0.0274461195792482,0.0574453884795333
"0.5",320,20,0.518750002980232,0.104778910977659,0.0234292767554444,0.0490380398265346
"0.5",330,20,0.523749999701977,0.118231212380617,0.0264373027945275,0.055333910682622
"0.5",340,20,0.54750000089407,0.113526027012301,0.0253851913614983,0.0531318161453739
"0.5",350,20,0.536249996721745,0.0991659277040168,0.0221741755398011,0.0464110827914761
"0.5",360,20,0.5625,0.104974936592829,0.0234731094155295,0.0491297826384615
"0.5",370,20,0.547500002384186,0.124842008605316,0.02791552176891,0.0584278585536873
"0.5",380,20,0.537500005960464,0.119621114016096,0.0267480942484242,0.0559844046715325
"0.5",390,20,0.546250002086163,0.119283772864935,0.026672662473864,0.0558265241529112
"0.5",400,20,0.533749997615814,0.110404462098796,0.0246871882272207,0.0516708787952786
"0.5",410,20,0.557500000298023,0.11473653988766,0.0256558702691923,0.0536983536101985
"0.5",420,20,0.575000002980232,0.11150879111059,0.0249341237012103,0.0521877206822256
"0.5",430,20,0.551249998807907,0.134133424609219,0.0299931455481056,0.0627763750995545
"0.5",440,20,0.536249996721745,0.113112370658061,0.0252926949887577,0.0529382190122824
"0.5",450,20,0.587499997019768,0.102758017448108,0.0229773912247079,0.0480922325408641
"0.5",460,20,0.571249988675117,0.131857921940139,0.0294843276830012,0.0617114070685783
"0.5",470,20,0.55625,0.125623446575049,0.0280902566109623,0.0587935827812462
"0.5",480,20,0.556249998509884,0.116097455788733,0.0259601803158383,0.0543352818578266
"0.5",490,20,0.54624999910593,0.119559224266782,0.0267342552797668,0.0559554393772442
"0.5",500,20,0.601249992847443,0.108359473093826,0.0242299147843855,0.0507137944799823
"0.5",510,20,0.574999997019768,0.110322495191542,0.0246688598695682,0.051632517101834
"0.5",520,20,0.581249995529652,0.109085607782359,0.0243922834368236,0.0510536359752171
"0.5",530,20,0.576249995827675,0.124993419856749,0.0279493783539862,0.0584987212006521
"0.5",540,20,0.596250000596046,0.0889540881527529,0.0198907387986064,0.0416317947654358
"0.5",550,20,0.604999993741512,0.11079853582807,0.024775305791901,0.0518553109777703
"0.5",560,20,0.561250001192093,0.13265383561827,0.0296622993918534,0.0620839061362101
"0.5",570,20,0.577500006556511,0.126413070564687,0.0282668219027117,0.0591631381840513
"0.5",580,20,0.589999997615814,0.119593608981242,0.0267419439356586,0.0559715319189718
"0.5",590,20,0.576249997317791,0.0998271565080221,0.0223220307952448,0.0467205473976904
"0.5",600,20,0.552500000596046,0.129243753687434,0.0288997818912341,0.0604879386655066
"0.5",610,20,0.579999998211861,0.116585188762518,0.0260692407242636,0.0545635479160443
"0.5",620,20,0.542499996721745,0.108245573616331,0.0242044460869574,0.0506604878836308
"0.5",630,20,0.58374999910593,0.0970875192185503,0.0217094292739496,0.0454383576778524
"0.5",640,20,0.589999996125698,0.119318241329053,0.0266803698567488,0.0558426558906855
"0.5",650,20,0.57875000089407,0.13285206162114,0.029706624073586,0.0621766787612804
"0.5",660,20,0.615000000596046,0.108336708605719,0.0242248244900973,0.0507031403715932
"0.5",670,20,0.607500006258488,0.120607017775383,0.0269685490309282,0.0564458218342227
"0.5",680,20,0.595000001788139,0.112857620689046,0.0252357311639593,0.0528189923567482
"0.5",690,20,0.607499998807907,0.0866405165460138,0.0193734084602582,0.0405490099231979
"0.5",700,20,0.575000001490116,0.0924804384749575,0.0206792547018992,0.0432821775183111
"0.5",710,20,0.605000002682209,0.0947989548557796,0.0211976907253457,0.0443672765860565
"0.5",720,20,0.622499993443489,0.117792183555391,0.0263391329647988,0.0551284388675827
"0.5",730,20,0.584999999403954,0.100131495456641,0.022390083052976,0.0468629824100786
"0.5",740,20,0.587499994039536,0.102758017066496,0.0229773911393769,0.0480922323622643
"0.5",750,20,0.589999996125698,0.0936819897631124,0.0209479297377759,0.0438445208312201
"0.5",760,20,0.59125000089407,0.106460706602459,0.0238053376895759,0.0498251444075951
"0.5",770,20,0.594999995827675,0.111685640738177,0.0249736684801184,0.0522704888557063
"0.5",780,20,0.616249999403954,0.0779148465471506,0.0174222893335894,0.0364652706580638
"0.5",790,20,0.580000005662441,0.129675713126251,0.0289963709581059,0.0606901019058622
"0.5",800,20,0.595000000298023,0.108700457141214,0.0243061611353057,0.0508733799265193
"0.5",810,20,0.598750002682209,0.113981476415911,0.0254870329441767,0.0533449730276588
"0.5",820,20,0.616250002384186,0.0804080929835338,0.0179797961852305,0.0376321459090463
"0.5",830,20,0.617499999701977,0.128529127690419,0.0287399866604528,0.0601534834037017
"0.5",840,20,0.6,0.130787089146185,0.0292448821910194,0.0612102418941407
"0.5",850,20,0.612499997019768,0.101144759574131,0.022616655797563,0.0473372046145725
"0.5",860,20,0.599999998509884,0.120579739420548,0.0269624494053557,0.0564330551711766
"0.5",870,20,0.640000005066395,0.086374335007438,0.0193138884587971,0.0404244331284214
"0.5",880,20,0.606250001490116,0.129998735339538,0.0290686009208212,0.0608412809552743
"0.5",890,20,0.637500002980232,0.114276903336213,0.0255530924117944,0.0534832370824042
"0.5",900,20,0.603749999403954,0.122548320746864,0.0274026375718435,0.0573543795921013
"0.5",910,20,0.583750002086163,0.108904537350069,0.0243517948572918,0.0509688924043284
"0.5",920,20,0.626250003278255,0.106213228742951,0.0237499999578973,0.0497093212040753
"0.5",930,20,0.604999999701977,0.0817570236835282,0.0182814262594429,0.0382634649099058
"0.5",940,20,0.593749995529652,0.0895437956566427,0.0200226014051604,0.0419077863728302
"0.5",950,20,0.603749999403954,0.0870854841651717,0.0194729062446805,0.0407572611793542
"0.5",960,20,0.601250003278256,0.10048402872961,0.0224689118892449,0.0470279730605705
"0.5",970,20,0.607500000298023,0.100361191119873,0.0224414445646884,0.0469704832895634
"0.5",980,20,0.656250002980232,0.103197239445378,0.0230756042490187,0.0482977947632027
"0.5",990,20,0.620000000298023,0.0947989565931091,0.0211976911138244,0.0443672773991517
"0.5",999,20,0.641249999403954,0.0882113983828793,0.0197246683174433,0.0412842052536343
