"Layer","Slope","N","Inactive_Percentage","sd","se","ci"
"conv_block1_relu","0.005",20,48.3800914126066,9.56765824298481,2.13939342168002,4.47780189341919
"conv_block1_relu","0.05",20,75.3373060851877,5.71476323527793,1.27785990693981,2.67459152338898
"conv_block1_relu","0.5",20,49.3033618027644,12.9245056108818,2.89000731215091,6.04885482174776
"conv_block2_relu","0.005",20,53.0330667446062,2.73925947126653,0.612517038576208,1.28201289547495
"conv_block2_relu","0.05",20,73.6636963279838,4.86928843386857,1.08880599401836,2.27889713606438
"conv_block2_relu","0.5",20,50.0158093314911,0.843332892187106,0.188574967459187,0.394691942951343
"conv_block3_relu","0.005",20,75.1386153796488,4.14784026621347,0.927485279506415,1.94124900011654
"conv_block3_relu","0.05",20,70.5601514075413,7.0942213956097,1.58631612880167,3.32019781547777
"conv_block3_relu","0.5",20,52.6761847882231,1.6799716720731,0.375653085902943,0.78625094490757
