"noise","Type","N","corr","sd","se","ci"
"0","Between",20,0.0684745746059888,0.0387043678792996,0.00865455976042732,0.0181142017588886
"0","Within",20,0.967451245328227,0.00943584440850988,0.00210991895225394,0.00441611111991947
"0.5","Between",20,0.622806267589815,0.145784201165718,0.032598338385205,0.0682291063739758
"0.5","Within",20,0.944998387527906,0.0223078881386452,0.00498819543124718,0.01044041302569
"5","Between",20,0.591848875795322,0.138731047439634,0.031021205266477,0.064928128819474
"5","Within",20,0.873384458621678,0.0373042187625204,0.00834147690005187,0.0174589118010998
