"Layer","STD","N","Inactive_Percentage","sd","se","ci"
"conv_block1_relu","0",20,76.0805389790217,5.10172853669963,1.14078118108109,2.38768245281905
"conv_block1_relu","0.5",20,47.6003424909323,8.69779760324667,1.94488666953943,4.07069458244409
"conv_block1_relu","5",20,63.1805169223606,11.0917778481335,2.48019692597529,5.19111182573582
"conv_block2_relu","0",20,74.0638783345733,5.0128635424572,1.12091036428647,2.34609235528716
"conv_block2_relu","0.5",20,48.7539855457541,1.20801001208079,0.270119250451299,0.56536608875331
"conv_block2_relu","5",20,55.7284913380806,1.64498968214149,0.367830875155414,0.769878869654341
"conv_block3_relu","0",20,70.7963826833678,6.14795189973986,1.37472383702173,2.87733005905497
"conv_block3_relu","0.5",20,49.1704061208678,7.9578339263727,1.77942576130234,3.72438092143962
"conv_block3_relu","5",20,55.0923698992769,6.07701125129741,1.35886102579321,2.84412881358313
