"Sub","noise","Type","N","corr","sd","se","ci"
"Sub1","0","Between",720,0.123614135365439,0.133989887251014,0.00499350826984665,0.00980359926272924
"Sub1","0","Within",60,0.944054008854828,0.0575438134567666,0.00742887437317744,0.0148651432851264
"Sub10","0","Between",720,0.0376505313970513,0.0965845382898689,0.00359949321985964,0.0070667729318687
"Sub10","0","Within",60,0.966754579708827,0.0255038051500269,0.00329252708703244,0.00658833148338234
"Sub11","0","Between",720,0.0485439090555543,0.0867135345589577,0.00323162263071845,0.00634454406158487
"Sub11","0","Within",60,0.970736409508366,0.0234996199974245,0.0030337878964076,0.00607059555881174
"Sub12","0","Between",720,0.0624225066273796,0.107147126095522,0.00399313762572213,0.00783960273379263
"Sub12","0","Within",60,0.96780043399136,0.0278676843533137,0.00359770257992497,0.00719898623416609
"Sub13","0","Between",720,0.0358483885022615,0.120180590262614,0.0044788661567209,0.00879321843062461
"Sub13","0","Within",60,0.952413911239277,0.0553464141295255,0.00714519133986504,0.0142974948466263
"Sub14","0","Between",720,0.0425287303324592,0.0907834313183032,0.00338329872764016,0.00664232501869961
"Sub14","0","Within",60,0.978707263623127,0.0133860886397722,0.00172813661242314,0.00345799337416381
"Sub15","0","Between",720,0.0800007619062435,0.124629850732642,0.00464468030439732,0.00911875618245465
"Sub15","0","Within",60,0.969514193572872,0.0252465286115267,0.00325931282873307,0.00652186990603867
"Sub16","0","Between",720,0.0778652531170139,0.0971942837983738,0.00362221709329284,0.00711138600484213
"Sub16","0","Within",60,0.975795089628356,0.0192672190436405,0.00248738728279167,0.00497725045638167
"Sub17","0","Between",720,0.0917412597789733,0.119927527597811,0.00446943506803645,0.00877470266794291
"Sub17","0","Within",60,0.960901386626188,0.0346472754238708,0.00447294402360377,0.00895034031767869
"Sub18","0","Between",720,0.0705471055489924,0.0955496885922819,0.00356092664868798,0.00699105638384823
"Sub18","0","Within",60,0.980872794007791,0.0110279639167571,0.00142370401973922,0.00284882516326386
"Sub19","0","Between",720,0.0324979669142576,0.107996691379008,0.00402479905447547,0.00790176263076477
"Sub19","0","Within",60,0.970411771102832,0.0233175597894828,0.00301028402462876,0.00602356442001509
"Sub2","0","Between",720,0.0374820368904773,0.095054570430334,0.0035424746842378,0.00695483021673203
"Sub2","0","Within",60,0.974329869246183,0.0171190127385067,0.00221005504132497,0.00442230992301195
"Sub20","0","Between",720,0.170032803735834,0.135768837129554,0.005059805817463,0.00993375917311874
"Sub20","0","Within",60,0.952923065565057,0.0480588513549726,0.00620437103118888,0.0124149177573537
"Sub21","0.5","Between",720,0.728297051414713,0.113721125453232,0.00423813611652013,0.00832060064026666
"Sub21","0.5","Within",60,0.953611454539756,0.0339758178526084,0.00438625922389763,0.00877688443411618
"Sub22","0.5","Between",720,0.677048317364037,0.164164728982597,0.00611805822521528,0.0120113931658507
"Sub22","0.5","Within",60,0.948518100320521,0.0375730065357755,0.00485065428600004,0.00970613680699012
"Sub23","0.5","Between",720,0.325168228892094,0.187079067381948,0.00697202519722166,0.0136879599250791
"Sub23","0.5","Within",60,0.907599062572594,0.091156383110909,0.0117682384563018,0.0235481907593005
"Sub24","0.5","Between",720,0.747042865609377,0.141326439623085,0.0052669254335873,0.0103403906646884
"Sub24","0.5","Within",60,0.95927332231922,0.0355044834374394,0.00458360910229666,0.00917178062865893
"Sub25","0.5","Between",720,0.583190802463612,0.176041576257697,0.00656068218964038,0.0128803830096259
"Sub25","0.5","Within",60,0.935350068729755,0.0477604343754783,0.00616584556479532,0.0123378284771615
"Sub26","0.5","Between",720,0.577208387613412,0.203094433974361,0.00756888267030856,0.0148597516127874
"Sub26","0.5","Within",60,0.960152038568821,0.033948086132022,0.00438267907416454,0.00876972057104741
"Sub27","0.5","Between",720,0.627980704569904,0.170656714033147,0.00636000022324764,0.0124863903552728
"Sub27","0.5","Within",60,0.946245335027396,0.0551415357505505,0.00711874165487277,0.0142445691492048
"Sub28","0.5","Between",720,0.494101662471862,0.174782804363382,0.00651377053090949,0.0127882828111092
"Sub28","0.5","Within",60,0.930479732858399,0.0571466753225034,0.00737760406050593,0.0147625516264376
"Sub29","0.5","Between",720,0.832932720158226,0.0906072442459278,0.00337673262313035,0.00662943399021769
"Sub29","0.5","Within",60,0.971999163988076,0.0317200454708159,0.00409504026164706,0.00819415663664114
"Sub3","0","Between",720,0.115970035439703,0.130924304776712,0.00487926075646046,0.00957930067795171
"Sub3","0","Within",60,0.95958993633497,0.0320251630355652,0.00413443076987738,0.00827297686155055
"Sub30","0.5","Between",720,0.537899054230587,0.175725367370176,0.00654889778018062,0.0128572470455605
"Sub30","0.5","Within",60,0.943449954641074,0.0491807979945911,0.00634921371954142,0.012704747307297
"Sub31","0.5","Between",720,0.413506030980963,0.198537392125362,0.00739905174779733,0.0145263278520272
"Sub31","0.5","Within",60,0.881602503141315,0.111314192963016,0.014370600518076,0.028755505217023
"Sub32","0.5","Between",720,0.625909393897997,0.148664531222545,0.00554039996094586,0.0108772946868519
"Sub32","0.5","Within",60,0.935877502212619,0.0590522853944334,0.0076236172629376,0.0152548229074521
"Sub33","0.5","Between",720,0.710483193876944,0.120784057561791,0.00450135605510688,0.00883737214767502
"Sub33","0.5","Within",60,0.954425079292292,0.0445703753603717,0.0057540107168311,0.0115137488498494
"Sub34","0.5","Between",720,0.807414239533752,0.108352026812521,0.00403804162421127,0.0079277613554855
"Sub34","0.5","Within",60,0.968407518116652,0.0253427520480847,0.00327173522097653,0.00654672705550263
"Sub35","0.5","Between",720,0.591970891880748,0.198559181221656,0.00739986377947204,0.0145279220885233
"Sub35","0.5","Within",60,0.930963286416789,0.0673030853115237,0.00868879095199694,0.017386230536121
"Sub36","0.5","Between",720,0.366565436894466,0.180600833249557,0.0067305956656519,0.0132139688451022
"Sub36","0.5","Within",60,0.929996952525482,0.063078910068611,0.0081434522730882,0.0162950103601319
"Sub37","0.5","Between",720,0.771785840642118,0.124476664554265,0.00463897139259627,0.00910754805372045
"Sub37","0.5","Within",60,0.969217522601867,0.0269142102414893,0.00347460960138711,0.00695267775303672
"Sub38","0.5","Between",720,0.71321960451482,0.158839914659585,0.00591961411198496,0.0116217940189132
"Sub38","0.5","Within",60,0.958334746592929,0.041876188422017,0.00540619267870386,0.010817766563141
"Sub39","0.5","Between",720,0.781457310227906,0.116390822180568,0.004337629839214,0.00851593356728668
"Sub39","0.5","Within",60,0.9689532704699,0.0289376304778445,0.00373583203064653,0.0074753826266378
"Sub4","0","Between",720,0.0830373739516607,0.115101939522062,0.00428959601855667,0.00842163026320971
"Sub4","0","Within",60,0.978157427170987,0.0182458106987086,0.00235552403247172,0.00471339270195176
"Sub40","0.5","Between",720,0.54294361455876,0.180557953195025,0.00672899762037168,0.0132108314525748
"Sub40","0.5","Within",60,0.945511135622671,0.041630720844742,0.00537450295074319,0.0107543555639589
"Sub41","5","Between",720,0.488089887659805,0.35261512692885,0.0131411898951271,0.0257996888370447
"Sub41","5","Within",60,0.890016807502695,0.129436079967031,0.0167101260703561,0.0334368850340549
"Sub42","5","Between",720,0.41018727052754,0.367600790719679,0.0136996726105313,0.0268961405581813
"Sub42","5","Within",60,0.824871440109703,0.230106558352012,0.0297066289450149,0.0594428272175579
"Sub43","5","Between",720,0.780960007322646,0.17100894931742,0.00637312725724278,0.0125121622522723
"Sub43","5","Within",60,0.913724312421252,0.0879023491824996,0.0113481444825443,0.0227075846594491
"Sub44","5","Between",720,0.510979552764697,0.350653719649248,0.0130680925616479,0.0256561791188508
"Sub44","5","Within",60,0.844420318683711,0.203201523265797,0.0262332038510804,0.0524925196584591
"Sub45","5","Between",720,0.629773849776635,0.30530847633829,0.0113781751199884,0.022338416838338
"Sub45","5","Within",60,0.873867336387113,0.204688284838474,0.0264251439447723,0.0528765908988065
"Sub46","5","Between",720,0.841769341396406,0.130619718169568,0.00486790948381696,0.00955701507790759
"Sub46","5","Within",60,0.946845804779738,0.0669381750356532,0.00864168123795339,0.0172919642160568
"Sub47","5","Between",720,0.565819809616945,0.368030129493822,0.0137156731219373,0.0269275538638867
"Sub47","5","Within",60,0.877051798152429,0.155085571297324,0.0200214611623867,0.0400628512485094
"Sub48","5","Between",720,0.705331570335104,0.229533110537992,0.00855419397083205,0.0167941826014574
"Sub48","5","Within",60,0.898084048684295,0.148425110546751,0.0191615993768854,0.0383422717899266
"Sub49","5","Between",720,0.589276661173631,0.27539091587787,0.0102632134714807,0.0201494473594476
"Sub49","5","Within",60,0.844078214503309,0.135767783995322,0.0175275455455123,0.0350725376258017
"Sub5","0","Between",720,0.0448796961098654,0.109497272325892,0.004080722404525,0.00801155520217704
"Sub5","0","Within",60,0.968213841222524,0.0243028879024549,0.00313748933703179,0.00627810166220182
"Sub50","5","Between",720,0.627109558664284,0.299536964775466,0.0111630835835317,0.0219161343238663
"Sub50","5","Within",60,0.866764684081999,0.215219665632655,0.0277847393590534,0.0555971350388531
"Sub51","5","Between",720,0.859411547734495,0.12896055703222,0.00480607619900471,0.00943561971564134
"Sub51","5","Within",60,0.92821311586759,0.0926362228817544,0.0119592849492198,0.0239304739086293
"Sub52","5","Between",720,0.658190486212587,0.222204644602552,0.00828107817079146,0.0162579828574646
"Sub52","5","Within",60,0.861252792316421,0.144761963241283,0.0186886890932593,0.0373959804981405
"Sub53","5","Between",720,0.565888264492027,0.336458570709952,0.0125390705953312,0.0246175667688389
"Sub53","5","Within",60,0.927050833919561,0.0929276813408815,0.0119969120744968,0.0240057656123994
"Sub54","5","Between",720,0.595737865062375,0.319248174282422,0.0118976769898033,0.0233583386793926
"Sub54","5","Within",60,0.898007277553172,0.143389262266732,0.0185114741594674,0.0370413742346946
"Sub55","5","Between",720,0.50501531787813,0.353651271609485,0.0131798047274675,0.0258755001347146
"Sub55","5","Within",60,0.873801247272526,0.141603455248133,0.0182809274647149,0.0365800513640614
"Sub56","5","Between",720,0.674859586034929,0.344447597490165,0.0128368040445749,0.0252020975767922
"Sub56","5","Within",60,0.837121137337804,0.239737824598021,0.0309500200708044,0.0619308471134187
"Sub57","5","Between",720,0.560387803326332,0.300223748100312,0.0111886784868679,0.0219663840004296
"Sub57","5","Within",60,0.851842818383884,0.175428574862289,0.0226477316296849,0.0453180063151829
"Sub58","5","Between",720,0.532690326465426,0.321081136830492,0.0119659874707649,0.0234924505191258
"Sub58","5","Within",60,0.866229472828487,0.191397067115734,0.0247092551150727,0.0494431052812644
"Sub59","5","Between",720,0.318433433699159,0.352519275362136,0.0131376177181451,0.0257926756932318
"Sub59","5","Within",60,0.803302783553572,0.291469318940481,0.0376285272728967,0.0752945091573345
"Sub6","0","Between",720,0.0661364431677153,0.0980293412287711,0.00365333784628425,0.0071724844099303
"Sub6","0","Within",60,0.969197116656508,0.0222776695343338,0.00287603476995957,0.00575493228191025
"Sub60","5","Between",720,0.41706537576329,0.310257301713949,0.0115626069524675,0.022700506110891
"Sub60","5","Within",60,0.841142928094297,0.18647288846934,0.0240735463853649,0.0481710550513087
"Sub7","0","Between",720,0.0281967364746243,0.106096511652213,0.00395398353716577,0.00776273273118908
"Sub7","0","Within",60,0.972235549467902,0.0201627287237881,0.00260299708537764,0.00520858513701789
"Sub8","0","Between",720,0.0145467693146839,0.0834063636507309,0.00310837164798503,0.00610256924585215
