"noise","Type","N","corr","sd","se","ci"
"0","Between",20,0.961546543381874,0.0187567813594038,0.00419414381587279,0.0087784438942696
"0","Within",20,0.995995427767077,0.00204788758345076,0.000457921584687367,0.00095844089178343
"0.5","Between",20,0.987308230153097,0.00715757801225999,0.00160048309896712,0.00334984962481213
"0.5","Within",20,0.997817584783435,0.00141253612482376,0.000315852679578005,0.000661087256006085
"5","Between",20,0.803687648074659,0.14573847910854,0.0325881146224129,0.0682077077925253
"5","Within",20,0.919169637625784,0.0596803262876422,0.0133449266498536,0.027931252482458
